iter	Passed	Remaining
0	147	147559
1	149	74503
2	150	50085
3	152	37875
4	153	30561
5	154	25614
6	155	22092
7	156	19462
8	158	17413
9	159	15838
10	161	14545
11	163	13436
12	164	12482
13	165	11676
14	167	10988
15	168	10376
16	169	9826
17	172	9401
18	173	8969
19	175	8584
20	176	8234
21	178	7918
22	179	7623
23	181	7366
24	181	7097
25	184	6899
26	187	6765
27	189	6570
28	190	6376
29	191	6185
30	192	6015
31	193	5855
32	194	5705
33	195	5557
34	196	5420
35	198	5303
36	199	5191
37	200	5083
38	201	4972
39	203	4879
40	204	4791
41	206	4702
42	207	4620
43	208	4540
44	210	4468
45	211	4395
46	213	4325
47	214	4254
48	215	4184
49	216	4116
50	217	4055
51	219	3994
52	220	3934
53	221	3879
54	222	3826
55	224	3776
56	225	3733
57	226	3686
58	228	3639
59	229	3594
60	230	3549
61	231	3505
62	232	3464
63	234	3422
64	235	3385
65	236	3349
66	238	3315
67	239	3283
68	240	3249
69	242	3215
70	243	3184
71	244	3152
72	245	3123
73	247	3094
74	248	3069
75	250	3044
76	251	3020
77	253	2995
78	254	2969
79	255	2942
80	257	2916
81	258	2891
82	259	2867
83	260	2842
84	262	2821
85	263	2800
86	265	2782
87	266	2764
88	267	2743
89	269	2722
90	270	2701
91	271	2680
92	272	2660
93	273	2640
94	275	2620
95	276	2600
96	277	2583
97	278	2563
98	280	2552
99	281	2537
100	283	2519
101	284	2501
102	285	2483
103	286	2466
104	287	2450
105	288	2434
106	289	2420
107	291	2407
108	293	2395
109	294	2382
110	295	2369
111	297	2355
112	298	2341
113	299	2327
114	300	2315
115	302	2302
116	303	2289
117	304	2277
118	305	2264
119	307	2254
120	308	2243
121	310	2231
122	311	2219
123	312	2207
124	313	2195
125	314	2184
126	316	2173
127	317	2162
128	318	2151
129	320	2143
130	321	2134
131	323	2124
132	324	2113
133	325	2102
134	326	2091
135	327	2080
136	328	2069
137	329	2059
138	330	2048
139	331	2038
140	332	2027
141	333	2016
142	335	2009
143	336	2000
144	337	1991
145	338	1982
146	340	1973
147	341	1963
148	342	1954
149	343	1944
150	344	1935
151	345	1926
152	346	1917
153	347	1908
154	349	1905
155	350	1898
156	352	1890
157	353	1884
158	355	1878
159	356	1872
160	358	1866
161	359	1859
162	360	1852
163	362	1845
164	363	1840
165	365	1834
166	366	1828
167	367	1821
168	369	1814
169	370	1810
170	372	1804
171	373	1796
172	374	1789
173	375	1783
174	377	1778
175	378	1772
176	379	1766
177	381	1760
178	382	1754
179	383	1747
180	384	1741
181	386	1735
182	387	1729
183	388	1722
184	389	1716
185	391	1711
186	392	1705
187	393	1701
188	395	1695
189	396	1688
190	397	1683
191	398	1676
192	399	1670
193	400	1664
194	401	1658
195	402	1652
196	404	1647
197	405	1643
198	407	1639
199	408	1634
200	409	1629
201	410	1623
202	412	1618
203	413	1613
204	414	1607
205	415	1603
206	417	1598
207	418	1593
208	419	1589
209	421	1586
210	422	1580
211	423	1575
212	424	1570
213	426	1565
214	427	1559
215	428	1554
216	429	1550
217	430	1545
218	432	1542
219	433	1538
220	435	1534
221	436	1529
222	437	1524
223	438	1519
224	439	1514
225	440	1509
226	441	1503
227	442	1498
228	443	1494
229	445	1490
230	447	1488
231	449	1486
232	450	1482
233	451	1478
234	452	1473
235	453	1469
236	455	1464
237	456	1460
238	457	1456
239	458	1452
240	460	1449
241	461	1445
242	462	1441
243	463	1437
244	465	1433
245	466	1428
246	467	1424
247	468	1421
248	469	1416
249	470	1412
250	472	1408
251	473	1405
252	474	1402
253	476	1399
254	477	1395
255	478	1391
256	479	1387
257	481	1383
258	482	1379
259	483	1375
260	484	1372
261	486	1369
262	487	1367
263	489	1364
264	491	1362
265	492	1359
266	494	1356
267	495	1353
268	496	1350
269	498	1347
270	499	1344
271	502	1344
272	503	1341
273	504	1337
274	506	1334
275	507	1331
276	508	1328
277	510	1325
278	511	1321
279	512	1318
280	514	1316
281	516	1314
282	517	1311
283	519	1308
284	520	1305
285	522	1303
286	525	1305
287	527	1302
288	529	1303
289	531	1301
290	533	1300
291	535	1298
292	537	1297
293	539	1294
294	540	1292
295	543	1293
296	546	1292
297	547	1290
298	549	1287
299	551	1286
300	552	1283
301	554	1281
302	556	1280
303	558	1278
304	560	1276
305	561	1274
306	563	1272
307	565	1271
308	567	1269
309	569	1268
310	572	1267
311	573	1265
312	575	1263
313	577	1261
314	579	1259
315	580	1257
316	582	1255
317	584	1254
318	586	1252
319	588	1250
320	590	1248
321	591	1246
322	593	1243
323	595	1241
324	596	1238
325	599	1238
326	600	1236
327	602	1234
328	604	1232
329	605	1229
330	607	1227
331	608	1224
332	610	1221
333	612	1220
334	613	1218
335	615	1216
336	617	1214
337	619	1212
338	620	1210
339	622	1208
340	623	1205
341	626	1206
342	628	1204
343	630	1201
344	631	1199
345	633	1196
346	634	1194
347	636	1191
348	637	1189
349	639	1187
350	641	1186
351	643	1184
352	644	1181
353	646	1179
354	647	1177
355	649	1174
356	651	1172
357	652	1170
358	654	1169
359	656	1166
360	657	1164
361	659	1161
362	660	1159
363	662	1156
364	663	1154
365	665	1152
366	666	1149
367	668	1148
368	670	1146
369	672	1144
370	673	1142
371	675	1139
372	676	1137
373	678	1135
374	679	1133
375	682	1133
376	684	1131
377	686	1128
378	687	1127
379	689	1124
380	690	1122
381	692	1120
382	696	1121
383	698	1120
384	700	1118
385	701	1116
386	703	1113
387	704	1111
388	705	1108
389	707	1106
390	709	1105
391	711	1104
392	713	1101
393	714	1099
394	716	1097
395	717	1094
396	719	1092
397	720	1089
398	721	1087
399	723	1085
400	725	1083
401	726	1081
402	728	1079
403	729	1076
404	731	1074
405	733	1072
406	734	1070
407	736	1068
408	738	1067
409	740	1065
410	742	1063
411	743	1061
412	745	1059
413	746	1057
414	748	1055
415	750	1053
416	752	1051
417	753	1049
418	755	1047
419	756	1044
420	758	1042
421	759	1040
422	761	1038
423	762	1035
424	765	1036
425	767	1033
426	768	1031
427	769	1028
428	771	1026
429	772	1023
430	773	1021
431	775	1019
432	776	1016
433	777	1014
434	779	1012
435	781	1010
436	782	1008
437	784	1006
438	785	1003
439	787	1001
440	788	999
441	789	997
442	791	994
443	792	992
444	795	992
445	797	990
446	798	987
447	799	985
448	801	983
449	802	980
450	803	978
451	805	976
452	806	974
453	808	972
454	810	970
455	811	968
456	812	965
457	814	963
458	815	961
459	817	959
460	818	956
461	819	954
462	821	952
463	823	951
464	825	949
465	826	947
466	828	945
467	829	942
468	830	940
469	831	938
470	833	935
471	834	933
472	836	932
473	838	930
474	839	927
475	840	925
476	842	923
477	843	921
478	844	919
479	846	916
480	847	914
481	849	912
482	851	911
483	852	908
484	853	906
485	855	904
486	856	902
487	857	900
488	859	897
489	860	895
490	861	893
491	863	891
492	865	889
493	867	888
494	868	886
495	869	884
496	871	881
497	872	879
498	873	877
499	875	875
500	876	873
501	878	871
502	880	870
503	882	868
504	883	866
505	885	864
506	886	861
507	887	859
508	888	857
509	889	854
510	890	852
511	892	851
512	894	849
513	896	847
514	897	845
515	899	843
516	900	841
517	901	839
518	902	836
519	904	834
520	905	832
521	906	830
522	908	828
523	910	826
524	911	825
525	913	822
526	914	820
527	915	818
528	916	816
529	918	814
530	919	812
531	920	810
532	922	808
533	924	806
534	925	804
535	926	802
536	927	800
537	929	797
538	930	795
539	931	793
540	933	791
541	934	789
542	936	788
543	938	786
544	939	784
545	940	782
546	941	780
547	943	778
548	944	775
549	945	773
550	946	771
551	948	769
552	949	767
553	951	765
554	952	763
555	953	761
556	955	759
557	956	757
558	957	755
559	958	753
560	960	751
561	961	749
562	962	747
563	963	744
564	965	743
565	967	741
566	968	739
567	970	737
568	971	735
569	972	733
570	974	731
571	975	729
572	976	727
573	977	725
574	979	724
575	981	722
576	982	720
577	983	718
578	985	716
579	986	714
580	988	712
581	989	710
582	991	709
583	992	707
584	995	706
585	997	704
586	999	702
587	1000	701
588	1002	699
589	1003	697
590	1005	695
591	1006	693
592	1009	692
593	1011	691
594	1013	689
595	1014	687
596	1015	685
597	1017	683
598	1018	681
599	1019	679
600	1021	678
601	1024	677
602	1028	676
603	1029	675
604	1031	673
605	1033	671
606	1034	669
607	1035	667
608	1038	666
609	1040	665
610	1041	663
611	1043	661
612	1044	659
613	1046	657
614	1047	655
615	1049	653
616	1050	652
617	1052	650
618	1054	648
619	1056	647
620	1058	646
621	1060	644
622	1061	642
623	1064	641
624	1067	640
625	1070	639
626	1072	637
627	1074	636
628	1075	634
629	1078	633
630	1079	631
631	1082	630
632	1086	629
633	1089	629
634	1091	627
635	1093	625
636	1094	623
637	1096	622
638	1097	620
639	1099	618
640	1100	616
641	1101	614
642	1102	612
643	1104	610
644	1105	608
645	1106	606
646	1107	604
647	1109	602
648	1111	601
649	1127	606
650	1128	605
651	1130	603
652	1131	601
653	1132	599
654	1134	597
655	1135	595
656	1136	593
657	1137	591
658	1140	590
659	1142	588
660	1144	586
661	1145	584
662	1146	582
663	1148	581
664	1149	579
665	1150	577
666	1151	575
667	1153	573
668	1155	571
669	1157	570
670	1158	568
671	1160	566
672	1161	564
673	1162	562
674	1163	560
675	1165	558
676	1166	556
677	1168	554
678	1170	553
679	1172	551
680	1173	549
681	1174	547
682	1176	545
683	1177	543
684	1178	541
685	1179	540
686	1181	538
687	1183	536
688	1185	534
689	1186	533
690	1187	531
691	1189	529
692	1190	527
693	1191	525
694	1193	523
695	1194	521
696	1195	519
697	1198	518
698	1199	516
699	1201	514
700	1202	512
701	1203	511
702	1205	509
703	1206	507
704	1207	505
705	1209	503
706	1210	501
707	1213	500
708	1214	498
709	1216	496
710	1217	494
711	1219	493
712	1220	491
713	1221	489
714	1223	487
715	1224	485
716	1226	484
717	1228	482
718	1230	480
719	1231	478
720	1232	477
721	1235	475
722	1236	473
723	1238	472
724	1240	470
725	1242	469
726	1244	467
727	1245	465
728	1247	463
729	1249	461
730	1250	460
731	1252	458
732	1254	456
733	1256	455
734	1257	453
735	1261	452
736	1263	450
737	1264	449
738	1267	447
739	1269	446
740	1271	444
741	1272	442
742	1273	440
743	1275	438
744	1276	437
745	1278	435
746	1279	433
747	1281	431
748	1283	430
749	1284	428
750	1285	426
751	1287	424
752	1288	422
753	1289	420
754	1290	418
755	1292	417
756	1293	415
757	1294	413
758	1296	411
759	1298	409
760	1299	408
761	1301	406
762	1302	404
763	1303	402
764	1305	400
765	1306	399
766	1307	397
767	1309	395
768	1311	393
769	1312	392
770	1314	390
771	1315	388
772	1316	386
773	1318	384
774	1319	383
775	1320	381
776	1322	379
777	1324	378
778	1326	376
779	1327	374
780	1328	372
781	1330	370
782	1331	369
783	1332	367
784	1334	365
785	1335	363
786	1337	361
787	1338	360
788	1340	358
789	1341	356
790	1342	354
791	1344	353
792	1345	351
793	1346	349
794	1348	347
795	1349	345
796	1351	344
797	1352	342
798	1354	340
799	1355	338
800	1356	337
801	1357	335
802	1359	333
803	1360	331
804	1361	329
805	1363	328
806	1364	326
807	1366	324
808	1367	322
809	1368	321
810	1370	319
811	1371	317
812	1372	315
813	1374	313
814	1375	312
815	1376	310
816	1378	308
817	1380	307
818	1381	305
819	1382	303
820	1384	301
821	1385	300
822	1386	298
823	1388	296
824	1389	294
825	1390	292
826	1392	291
827	1394	289
828	1395	287
829	1397	286
830	1398	284
831	1399	282
832	1401	280
833	1402	279
834	1404	277
835	1405	275
836	1407	274
837	1409	272
838	1411	270
839	1412	268
840	1413	267
841	1414	265
842	1416	263
843	1417	261
844	1419	260
845	1421	258
846	1423	257
847	1424	255
848	1425	253
849	1427	251
850	1428	250
851	1430	248
852	1431	246
853	1433	245
854	1435	243
855	1437	241
856	1438	240
857	1439	238
858	1441	236
859	1442	234
860	1443	233
861	1444	231
862	1446	229
863	1448	227
864	1449	226
865	1451	224
866	1452	222
867	1453	221
868	1454	219
869	1456	217
870	1457	215
871	1459	214
872	1460	212
873	1462	210
874	1464	209
875	1466	207
876	1467	205
877	1469	204
878	1471	202
879	1472	200
880	1474	199
881	1475	197
882	1477	195
883	1479	194
884	1480	192
885	1481	190
886	1483	188
887	1484	187
888	1486	185
889	1487	183
890	1489	182
891	1491	180
892	1492	178
893	1494	177
894	1495	175
895	1496	173
896	1498	172
897	1499	170
898	1501	168
899	1502	166
900	1504	165
901	1506	163
902	1507	161
903	1509	160
904	1510	158
905	1512	156
906	1513	155
907	1515	153
908	1516	151
909	1518	150
910	1520	148
911	1521	146
912	1522	145
913	1524	143
914	1525	141
915	1527	140
916	1528	138
917	1529	136
918	1531	135
919	1533	133
920	1534	131
921	1536	129
922	1537	128
923	1539	126
924	1540	124
925	1542	123
926	1543	121
927	1545	119
928	1546	118
929	1548	116
930	1549	114
931	1551	113
932	1552	111
933	1554	109
934	1555	108
935	1557	106
936	1558	104
937	1560	103
938	1561	101
939	1563	99
940	1564	98
941	1566	96
942	1567	94
943	1568	93
944	1570	91
945	1571	89
946	1573	88
947	1575	86
948	1577	84
949	1579	83
950	1580	81
951	1581	79
952	1583	78
953	1584	76
954	1586	74
955	1587	73
956	1589	71
957	1591	69
958	1592	68
959	1594	66
960	1595	64
961	1597	63
962	1598	61
963	1600	59
964	1601	58
965	1603	56
966	1604	54
967	1606	53
968	1607	51
969	1608	49
970	1610	48
971	1612	46
972	1613	44
973	1614	43
974	1616	41
975	1617	39
976	1618	38
977	1620	36
978	1621	34
979	1623	33
980	1625	31
981	1626	29
982	1627	28
983	1629	26
984	1630	24
985	1631	23
986	1632	21
987	1634	19
988	1635	18
989	1637	16
990	1638	14
991	1640	13
992	1641	11
993	1643	9
994	1644	8
995	1646	6
996	1647	4
997	1649	3
998	1650	1
999	1652	0
